Tinh_TP,Quan_huyen,Phuong_xa,Vi_do,Kinh_do
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Lâm,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Liên,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Mỹ,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Ngọc,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Phong,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Phúc,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Trường,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Vạn,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Xuân,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Yên,,
Tỉnh Nghệ An,Huyện Đô Lương,Xã Bài Sơn,,
Tỉnh Nghệ An,Huyện Đô Lương,Xã Quang Sơn,,
Tỉnh Nghệ An,Huyện Đô Lương,Xã Tân Sơn,,
Tỉnh Nghệ An,Huyện Đô Lương,Xã Thượng Sơn,,
Tỉnh Nghệ An,Huyện Hưng Nguyên,,,
Tỉnh Nghệ An,Huyện Nam Đàn,Xã Nam Thanh,,
Tỉnh Nghệ An,Huyện Nghĩa Đàn,Xã Nghĩa Khánh,,
Tỉnh Nghệ An,Huyện Quế Phong,Xã Tiền Phong,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã An Hòa,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Ngọc Sơn,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Bá,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Bảng,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Diện,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Giang,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Hậu,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Hoa,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Hồng,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Hưng,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Lâm,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Long,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Minh,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Mỹ,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Nghĩa,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Ngọc,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Tam,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Tân,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Thạch,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Thọ,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Thuận,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Quỳnh Văn,,
Tỉnh Nghệ An,Huyện Quỳnh Lưu,Xã Sơn Hải,,
Tỉnh Nghệ An,Huyện Tân Kỳ,Xã Đồng Văn,,
Tỉnh Nghệ An,Huyện Tân Kỳ,Xã Nghĩa Đồng,,
Tỉnh Nghệ An,Huyện Thanh Chương,Xã Thanh Mai,,
Tỉnh Nghệ An,Huyện Thanh Chương,Xã Thanh Tùng,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Đô Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Đức Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Hợp Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Lăng Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Nhân Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Phúc Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Tân Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Thọ Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Tiến Thành,,
Tỉnh Nghệ An,Huyện Yên Thành,Xã Vĩnh Thành,,
Tỉnh Nghệ An,Thành phố Vinh,Xã Nghi Đức,,
Tỉnh Nghệ An,Thị xã Hoàng Mai,Phường Mai Hùng,,
Tỉnh Nghệ An,Thị xã Hoàng Mai,Phường Quỳnh Dị,,
Tỉnh Nghệ An,Thị xã Hoàng Mai,Phường Quỳnh Thiện,,
Tỉnh Nghệ An,Thị xã Hoàng Mai,Xã Quỳnh Trang,,
Tỉnh Quảng Bình,Huyện Minh Hóa,Xã Hóa Hợp,,
Tỉnh Thừa Thiên Huế,Huyện Phong Điền,Xã Điền Hòa,,
undefined,Hải Phòng,Thủy Nguyên,,
undefined,Hải Phòng,Vĩnh Bảo,,
undefined,Nghệ An,Quỳnh Lưu,,
Yên Bái,Trạm Tấu,Tà Xi Láng,,
